Region,District,Station,Date,AQI,PM10,PM2_5,NO2,SO2,Calculated_AQI,Data_Quality_Tier
Jammu,Jammu,Jammu JKPCC Narwal  184,2026-01-01,151.0,151.0,67.0,39.0,3.0,134.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2026-02-01,126.0,126.0,75.0,37.0,4.0,149.0,Tier_1_Gold
Jammu,Jammu,Jammu JKPCC Narwal  184,2026-03-01,130.0,130.0,56.0,34.0,3.0,120.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-01-01,74.0,74.0,26.737230880230886,20.0,3.0,74.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-02-01,115.0,115.0,30.798954205924794,16.0,3.0,110.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-03-01,106.0,106.0,24.837292034762623,18.0,2.0,104.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-04-01,105.07498775639566,104.91236566907466,23.052188860159443,14.892998867489577,2.1460555555555554,104.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-05-01,105.21026048366839,105.190699002408,19.130403145873732,15.645552258542967,2.429142857142857,104.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-06-01,103.64138194992141,103.77105466428995,20.965609495080084,15.019028449019157,2.123166666666667,103.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-07-01,92.97764602064602,92.81056349206347,18.56091108238167,15.748370554282312,2.1956507936507936,93.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-08-01,62.0,62.0,20.0,14.569414565826328,1.7756190476190477,62.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-09-01,80.0,80.0,7.0,18.35176406926407,2.7267761682761678,80.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-10-01,106.0,106.0,41.0,24.0,2.0,104.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-11-01,101.26275207979155,101.3982372039725,39.27244444444445,11.0,2.0,101.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2022-12-01,104.97856584497373,105.348699002408,38.0,12.0,2.1034945054945053,104.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-01-01,108.99591793732584,109.20474101921471,32.033952380952385,13.872369111280877,2.4106691086691088,106.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-02-01,117.0,117.0,32.0,5.0,2.8740000000000006,112.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-03-01,125.0,125.0,23.0,13.905568131558844,2.601064713064713,117.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-04-01,113.0,113.0,18.0,15.0,2.0,109.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-05-01,112.0,112.0,10.0,13.0,2.0,108.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-06-01,105.0,105.0,23.0,13.0,2.0,104.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-07-01,92.0,92.0,19.0,9.0,1.0,92.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-08-01,85.0,85.0,23.0,15.0,3.0,85.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-09-01,80.0,80.0,25.0,17.0,3.0,80.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-10-01,84.0,84.0,19.0,17.0,3.0,84.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-11-01,105.0,105.0,35.0,20.0,3.0,104.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2023-12-01,98.0,98.0,25.0,22.0,3.0,98.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-01-01,108.0,108.0,34.0,20.0,2.0,106.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-02-01,91.0,91.0,28.0,16.0,2.0,91.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-03-01,98.0,98.0,27.0,18.0,3.0,98.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-04-01,96.0,96.0,26.0,13.0,3.0,96.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-05-01,102.0,102.0,17.0,20.0,4.0,102.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-06-01,106.0,106.0,21.0,19.0,3.0,104.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-07-01,94.0,94.0,6.0,14.0,2.0,94.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-08-01,72.0,72.0,21.279631907308374,10.0,1.0,72.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-09-01,81.0,81.0,17.363447924624396,17.429741588820537,3.0101188811188804,81.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-10-01,115.0,115.0,28.96718436465495,19.0,4.0,110.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-11-01,130.0,129.0,32.0,22.0,4.0,120.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2024-12-01,128.0,138.30666666666664,83.0,25.275333333333332,4.0,176.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-01-01,163.0,163.0,93.0,26.0,4.0,208.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-02-01,85.0,55.0,58.0,13.0,1.0,97.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-03-01,93.0,93.0,47.0,28.0,3.0,93.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-04-01,111.0,111.0,59.0,31.0,3.0,108.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-05-01,103.0,103.0,57.0,25.46622222222222,2.549517094017094,102.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-06-01,104.0,104.0,49.0,19.57132942874119,2.375936507936508,103.0,Tier_1_Gold
Jammu,Jammu,Jammu PDD Power House near High Court Janipur 1071,2025-07-01,79.0,79.0,26.0,20.0,2.0,79.0,Tier_1_Gold
