Region,District,Station,Date,AQI,PM10,PM2_5,NO2,SO2,month
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-05,81.0,81.0,2.0,12.0,2.0,5
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-06,87.0,87.0,4.166666666666666,16.0,2.0,6
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-07,78.0,78.0,6.333333333333333,11.0,2.0,7
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-08,59.0,59.0,29.702001887741737,8.0,2.0,8
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-09,79.0,79.0,31.89164148325302,12.5,5.7375995225926975,9
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-10,104.56199066731759,107.0,43.238654995958065,17.0,3.0,10
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-11,104.56199066731759,166.0,15.0,25.0,6.0,11
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2024-12,154.0,135.0,136.0,28.0,4.0,12
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-01,154.0,140.0,146.0,28.0,4.0,1
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-02,97.0,68.0,63.0,14.0,2.0,2
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-03,88.0,88.0,34.0,26.0,3.0,3
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-04,95.0,95.0,45.0,25.0,3.0,4
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-05,101.0,101.0,53.0,23.0,7.646132287781124,5
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-06,98.0,98.0,48.0,21.0,7.3040705553689795,6
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-07,77.0,77.0,25.0,19.0,2.0,7
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-08,55.0,55.0,29.0,15.0,2.0,8
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-09,61.0,61.0,26.0,17.0,2.0,9
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-10,84.0,79.0,33.0,22.0,3.0,10
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-11,86.0,97.0,57.0,25.666666666666668,3.0,11
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2025-12,110.0,115.0,57.0,29.333333333333332,3.0,12
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2026-01,133.0,133.0,22.0,33.0,3.0,1
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2026-02,105.0,105.0,59.0,32.0,3.0,2
Jammu,Jammu,Jammu Dogra Hall CCF Office 1070,2026-03,98.0,98.0,46.0,28.0,2.0,3
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-01,108.0,108.0,46.0,26.0,4.0,1
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-02,280.0,280.0,60.0,32.0,5.0,2
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-03,254.0,254.0,92.0,34.0,5.0,3
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-04,161.0,161.0,64.0,35.0,3.0,4
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-05,217.0,217.0,88.0,34.0,4.0,5
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-06,169.0,169.0,65.0,35.0,3.0,6
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-07,87.0,87.0,38.0,16.0,2.0,7
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-08,121.0,115.0,46.0,19.0,3.0,8
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-09,93.0,93.0,23.0,21.0,3.0,9
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-10,145.0,145.0,47.0,26.0,5.652133455254789,10
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-11,144.0,144.0,46.0,23.666666666666668,11.525240982559225,11
Jammu,Jammu,Jammu JKPCC Narwal  184,2022-12,147.0,147.0,66.0,21.333333333333332,10.365002594638806,12
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-01,149.0,130.0,59.0,19.0,2.0,1
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-02,133.09182933043994,129.0,55.0,20.5,8.872184721319375,2
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-03,128.0,128.0,51.0,22.0,3.0,3
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-04,114.0,114.0,38.0,19.0,2.0,4
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-05,106.0,106.0,32.0,13.0,2.0,5
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-06,100.0,100.0,33.0,21.0,3.0,6
Jammu,Jammu,Jammu JKPCC Narwal  184,2023-07,100.0,100.0,19.0,15.0,2.0,7
